date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-06-21,553630,567573,548708,565936,103255,58435721680,2.9849,-28682,320,26728,15130,5487,4710,1471,180,-458,1541,93,208
2016-06-22,570855,578237,563474,563476,78262,44098758712,-0.4347,-14089,2863,10281,3114,4993,113,-161,-20,2242,907,38,0
2016-06-23,567572,571673,556910,570036,65438,37302015768,1.1642,-12621,460,12672,7281,2713,256,-188,46,2522,-499,-12,42
2016-06-24,576597,577415,530664,557735,298530,166500629550,-2.1579,967,-9135,6746,3642,2690,-692,6060,20,-5098,174,1248,124
2016-06-27,542147,553628,538046,547071,116462,63712982802,-1.912,531,-3833,3635,49,-1630,-387,2235,-146,3336,-169,-164,178
2016-06-28,541328,574955,538868,564297,114786,64773395442,3.1488,-23286,7103,10670,3952,1903,488,2507,-10,1801,5599,-86,29
2016-06-29,568390,591356,566751,588081,231320,136034896920,4.2148,-28206,10688,18937,3694,1556,4477,2320,56,7011,-1302,-117,-177
2016-06-30,593000,597101,576596,579060,129697,75102344820,-1.534,-8147,6332,5218,-1492,3308,5366,11,13,-1988,-3398,-5,0
2016-07-01,583978,592178,581515,587262,77668,45611465016,1.4164,-6892,-1903,9922,4392,1258,2271,254,458,1289,-938,-189,0
2016-07-04,587259,588078,578236,579060,58224,33715189440,-1.3967,5855,4184,-9439,1837,-402,-52,-4251,-60,-6733,465,-1065,222
2016-07-05,576594,577413,561829,565115,130750,73888786250,-2.4082,20196,3118,-22957,-16889,-2661,60,-2909,-200,21,-567,210,-379
2016-07-06,563474,566754,556913,564297,84875,47894707875,-0.1447,9980,-1996,-8713,-8109,-1035,811,63,-20,-423,708,21,0
2016-07-07,568393,572495,561831,571678,65624,37515797072,1.308,-6322,3579,2567,23,-90,1420,339,-6,881,168,8,0
2016-07-08,571674,577415,561011,565936,57885,32759205360,-1.0044,8403,-4689,-3876,2254,-7735,128,-146,-102,1725,157,5,0
2016-07-11,570035,575775,566754,572498,53375,30557080750,1.1595,-7590,6372,2004,1109,-1780,59,24,600,2195,-59,-727,-203
2016-07-12,573316,579877,565933,566756,57809,32763597604,-1.003,500,1061,850,3987,-3236,-186,383,-1,-188,-2419,8,91
2016-07-13,570854,571674,556911,557735,89346,49831391310,-1.5917,11944,-944,-11399,494,-4065,-336,-2419,-4,-1202,381,18,-3867
2016-07-14,555267,561009,549527,555272,70469,39129462568,-0.4416,18649,372,-18781,-12441,-4980,-421,-3284,-1,2346,-213,-27,0
2016-07-15,557732,557732,548709,551173,54776,30191052248,-0.7382,11551,-114,-11626,-4034,-3399,293,-3390,0,-725,184,5,-371
2016-07-18,549527,554446,542964,543789,64270,34949319030,-1.3397,12400,-1482,-10351,-2758,-4964,-76,-540,-35,-1978,-494,-73,0
2016-07-19,545426,553628,540505,548711,58441,32067219551,0.9051,-6311,4777,1711,-149,-1054,-57,3437,0,34,-168,-9,-500
2016-07-20,550349,555269,544608,544611,42426,23105666286,-0.7472,-6122,1728,4124,3599,-357,507,-103,-112,595,519,-249,-5
2016-07-21,546246,551987,529021,530666,124936,66299287376,-2.5605,17221,-1162,-14384,-11178,-881,-646,-2641,469,515,-1612,-63,-22
2016-07-22,530663,536405,524923,529847,50672,26848407184,-0.1543,977,6665,-7103,-1323,-1534,-1083,-1977,0,-1186,-310,-229,0
2016-07-25,529844,534766,519183,519185,75099,38990274315,-2.0123,7808,2121,-11771,-8121,523,-705,-903,0,-2565,1715,127,0
2016-07-26,520821,530663,517540,529847,61111,32379480017,2.0536,8309,7707,-13628,-7755,48,129,-1156,-70,-4468,-2411,23,-356
2016-07-27,527382,529022,500316,500320,227059,113602158880,-5.5727,84197,5734,-88627,-42379,-8183,-1379,-15499,-3000,-10351,-1400,96,-7836
2016-07-28,500318,516721,497857,513444,132397,67978445268,2.6231,8680,13607,-24018,-18116,1682,64,-6568,316,-724,1630,101,-672
2016-07-29,518360,518360,500317,501140,107667,53956240380,-2.3964,25681,4161,-27540,-13700,-290,-187,-8728,484,-4488,-2334,32,-631
2016-08-01,496211,497032,470786,471611,213021,100463046831,-5.8924,57593,4224,-58209,-19346,-9272,-9708,-13847,950,-7071,-3928,320,85
2016-08-02,474071,484732,472429,474074,100081,47445799994,0.5223,19866,2848,-22871,-13231,-882,79,-6902,581,-2416,-6,163,-100
2016-08-03,474071,475712,466688,467513,61405,28707635765,-1.384,14701,-4994,-10003,-6772,257,-647,-1964,69,-946,267,29,0
2016-08-04,468328,490474,465047,483095,88568,42786757960,3.333,-8188,-5203,12711,3798,3047,874,1673,389,2996,695,-15,-66
2016-08-05,483091,492116,475710,476533,72892,34735443436,-1.3583,15705,-7188,-8443,-2158,-56,-263,-2718,647,-3890,-61,-13,-5
2016-08-08,480632,488012,478990,488016,70342,34328021472,2.4097,-3523,-1900,4362,-3027,2917,627,2440,0,1405,865,196,0
2016-08-09,485552,508518,485552,491297,121617,59750067249,0.6723,7138,-2186,-5142,-11051,-438,1062,2969,-876,3155,176,14,37
2016-08-10,492114,505238,491293,504420,83311,42023734620,2.6711,-6224,7717,-1621,-3520,2191,-1507,843,-1002,1374,87,41,0
2016-08-11,506877,506877,500315,504420,62658,31605948360,0.0,10967,-499,-10418,-9459,415,362,-2955,196,1023,-32,-18,0
2016-08-12,503600,520823,502779,514264,90679,46632945256,1.9515,-7364,5505,2536,1293,-1466,84,-6,-783,3414,-716,39,0
2016-08-16,517539,519181,501136,504420,65570,33074819400,-1.9142,16424,-816,-16527,-12014,-2053,-25,-3,-5,-2427,928,-9,0
2016-08-17,500317,503598,487195,490478,93725,45970050550,-2.764,28481,-1806,-26966,-16895,-6078,560,-616,-685,-3252,226,65,0
2016-08-18,490475,494574,481453,482276,67113,32366989188,-1.6722,20147,225,-21886,-8006,-7257,-44,-1522,5,-5062,1256,258,0
2016-08-19,483911,489652,481451,483095,49652,23986632940,0.1698,13084,-1371,-11799,-1343,-4051,57,-831,0,-5631,86,0,0
2016-08-22,483092,489654,478171,479815,49575,23786828625,-0.679,9797,-2457,-7173,-2160,-2425,-873,-831,-5,-879,-186,19,0
2016-08-23,474891,500316,474891,500320,98728,49395592960,4.2735,-20637,10711,9207,4590,1317,729,449,118,2004,837,-118,0
2016-08-24,505238,512619,496213,497039,61418,30527141302,-0.6558,7242,-6647,-622,733,-1322,-282,-33,445,-163,-14,41,0
2016-08-25,499495,502776,492935,500320,40701,20363524320,0.6601,4896,-7143,1641,1884,-2312,816,-310,-60,1623,575,31,0
2016-08-26,505239,510158,497856,505241,60365,30498872965,0.9836,4764,-5213,491,-1339,-1911,75,-221,0,3810,16,-58,77
2016-08-29,507698,514260,501957,503601,83061,41829602661,-0.3246,4186,-6905,2814,-5597,-1882,8479,-570,251,1587,-151,56,546
2016-08-30,502778,508519,501137,502781,42124,21179146844,-0.1628,-2940,-1433,4288,-215,555,4739,-2898,0,2107,86,-1,0
2016-08-31,502776,506056,475710,487196,155774,75892469704,-3.0998,24440,529,-24647,-11128,-6159,-3131,-3092,173,-2010,-585,263,700
2016-09-01,487193,493755,483091,488016,55815,27238613040,0.1683,5882,7496,-14208,-1875,-6127,-1232,-3420,0,-2148,879,-49,594
2016-09-02,488834,489654,481453,484736,38924,18867864064,-0.6721,879,3660,-5667,-121,-1722,-531,27,0,-3320,1167,-39,0
2016-09-05,488011,489652,483090,483915,54250,26252388750,-0.1694,3094,-489,-2605,62,-5658,-3,540,0,2758,-22,22,-304
2016-09-06,488013,488013,470790,474894,124991,59357475954,-1.8642,42485,-3442,-44340,-9126,-12694,-16470,-1557,-44,-4126,5229,68,-323
2016-09-07,476528,478168,460945,464231,124174,57645420194,-2.2453,32636,-780,-31231,-5483,-11190,-9573,-499,-682,-3566,-568,-57,-238
2016-09-08,466686,471606,449462,459309,167862,77100527358,-1.0602,47234,-11477,-36258,-4189,-13856,-11432,-1669,-2280,-2531,-52,553,-301
2016-09-09,453565,458486,444542,447006,125167,55950400002,-2.6786,33488,-12451,-19808,-7017,-4509,-2786,-641,-409,-5009,-1428,199,563
2016-09-12,436341,454386,436341,447006,69919,31254212514,0.0,-4796,-408,820,689,-1200,-130,-338,35,1764,4370,14,0
2016-09-13,451921,455202,446181,450286,50243,22623719498,0.7338,4092,-435,-2814,838,606,367,540,23,-5388,-886,43,200
2016-09-19,447824,460946,447824,458489,51839,23767611271,1.8217,4149,-2364,-2183,-1004,366,448,438,0,-2754,386,12,323
2016-09-20,456846,486373,456846,482276,136772,65961853072,5.1881,-31890,13381,17595,7368,3014,6727,3125,70,-3141,936,-22,432
2016-09-21,490474,500316,488832,492938,123427,60841858526,2.2108,-19047,-3524,22173,4323,3659,9935,2419,34,1803,-400,798,0
2016-09-22,495393,500315,488832,493758,68646,33894511668,0.1663,-4887,5032,-410,182,-1236,-973,-581,9,2498,449,-184,-309
2016-09-23,497035,499495,490474,497039,54644,27160199116,0.6645,-2946,1262,1850,-538,-621,571,-1256,969,2947,-172,6,-222
2016-09-26,498676,507698,496216,502781,87621,44054174001,1.1552,4917,263,-5247,2297,-8308,1462,367,198,-1303,616,-549,40
2016-09-27,499496,508518,492116,505241,100986,51022267626,0.4893,-817,-5970,4008,1481,1496,-1932,-177,1003,2341,3052,-273,-204
2016-09-28,511801,512620,500317,503601,72582,36552367782,-0.3246,-782,-3534,6840,379,-92,9262,-1309,0,-1058,-1685,-839,-342
2016-09-29,510157,510157,501956,508522,141659,72036717998,0.9772,6657,-1706,-5599,-3436,1008,-2587,480,197,-927,714,-66,-334
2016-09-30,532303,536405,411734,416660,2117325,882204634500,-18.0645,369797,-12098,-359933,-150634,-85712,-29869,-56703,-8860,-26162,32,2202,-1993
2016-10-04,380567,404763,356782,386312,1367786,528392145232,-7.2836,-11407,10515,1736,-10379,-12817,19654,-177,-3790,9532,-913,69,-287
2016-10-05,394918,399019,374413,374828,558583,209372548724,-2.9727,31775,-27503,-5331,-3436,194,-1617,-1237,-1784,2702,765,294,-153
2016-10-06,369904,379335,366213,369497,371606,137307302182,-1.4223,18166,7138,-26175,-16899,-3437,1185,-3675,-2099,-1405,758,113,155
2016-10-07,372364,376054,344478,346942,570658,197985227836,-6.1042,10485,7924,-17057,-5712,-2546,-2598,-6699,-1821,2339,617,-1969,-20
2016-10-10,348578,359650,345297,356784,236814,84491446176,2.8368,-11900,4299,7123,-2081,74,3451,-1408,-1288,8125,546,-68,250
2016-10-11,359244,362114,350630,351044,141356,49622175664,-1.6088,7396,-12041,4712,-4545,190,1885,216,200,6766,-62,-5,0
2016-10-12,347347,364162,346525,355143,154214,54768022602,1.1677,-269,3362,-2615,-9451,1349,560,-2522,-365,7896,-693,215,-82
2016-10-13,355137,358829,345296,345711,126106,43596231366,-2.6558,13597,-3504,-10602,-1257,2,1437,532,-28,-11288,554,-45,0
2016-10-14,347349,352270,340376,340791,108097,36838484727,-1.4232,6380,-148,-6339,-2039,-808,-1393,-574,0,-1525,56,51,0
