date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-25,4333,4532,4333,4524,427677,1934810748,4.6253,-135658,45255,90401,59609,18208,0,11584,0,1000,0,2,0
2016-05-26,4541,4549,4454,4541,251853,1143664473,0.3758,-39933,-4864,44347,0,-12386,36798,6516,0,13419,400,50,0
2016-05-27,4557,4592,4496,4593,178734,820925262,1.1451,-11930,-18004,30216,0,18561,0,8296,0,3359,0,-282,0
2016-05-30,4608,4617,4513,4566,239196,1092168936,-0.5879,-33797,-23166,86963,50000,14615,0,11060,0,11288,-30000,0,0
2016-05-31,4601,4636,4558,4619,173969,803562811,1.1608,-48285,9493,38592,0,0,0,0,0,38592,200,0,0
2016-06-01,4619,4628,4515,4559,145114,661574726,-1.299,11198,3817,-15165,0,-11237,-11000,3106,0,3966,0,150,0
2016-06-02,4550,4558,4481,4481,142242,637386402,-1.7109,-2622,10960,-7841,0,-276,-279,-5991,0,-1295,-600,103,0
2016-06-03,4504,4531,4393,4428,200806,889168968,-1.1828,6840,37922,-44859,0,192,0,-14421,0,-630,0,97,-30000
2016-06-07,4427,4505,4410,4463,185034,825806742,0.7904,-43982,43279,683,0,0,0,-276,0,959,20,0,0
2016-06-08,4461,4591,4461,4566,247974,1132249284,2.3079,-43157,23549,19608,0,8787,-1039,11396,0,464,0,0,0
2016-06-09,4575,4810,4541,4810,1078583,5187984230,5.3438,-195852,149891,50542,-2482,91836,0,-2761,0,-6051,-3435,-1146,-30000
2016-06-10,4859,4868,4713,4748,566773,2691038204,-1.289,100747,-16985,-80052,-19074,-38845,0,-1236,0,-897,-3535,-175,-20000
2016-06-13,4669,4782,4618,4766,372810,1776812460,0.3791,-22113,22289,49,0,-42264,-500,1455,0,41358,0,-225,0
2016-06-14,4687,4774,4609,4636,162346,752636056,-2.7277,25471,-16701,-9647,0,0,0,-295,0,-9352,0,877,0
2016-06-15,4635,4695,4574,4575,133906,612619950,-1.3158,-14186,16672,-2546,0,-4308,0,-213,0,1975,0,60,0
2016-06-16,4573,4704,4557,4566,293694,1341006804,-0.1967,11108,13535,-30198,-35000,-57,0,-223,0,5082,2350,3205,0
2016-06-17,4600,4652,4522,4584,125299,574370616,0.3942,9167,-4273,-4894,0,-4304,0,-192,0,-398,0,0,0
2016-06-20,4582,4686,4565,4679,175030,818965370,2.0724,-21530,8310,13480,15000,0,0,-155,0,-1365,0,-260,0
2016-06-21,4644,4696,4609,4662,161982,755160084,-0.3633,39590,-9368,-35913,0,-32823,0,-1864,0,-1226,4540,1151,0
2016-06-22,4618,4729,4583,4584,210902,966774768,-1.6731,6034,18110,-38144,0,-281,0,-973,0,-36890,14000,0,0
2016-06-23,4619,4628,4437,4559,280354,1278133886,-0.5454,-40129,9888,29841,50000,6753,0,-7510,0,-19402,0,400,0
2016-06-24,4592,4627,4220,4251,602921,2563017171,-6.7559,37405,13941,-43496,-65000,18059,0,-93,0,3538,-8000,150,0
2016-06-27,4069,4359,4069,4359,321924,1403266716,2.5406,-107083,15704,92256,-5960,-9090,0,-4975,0,112281,0,-877,0
2016-06-28,4290,4402,4272,4368,144964,633202752,0.2065,28503,-27621,-932,0,0,0,-1577,0,645,0,50,0
2016-06-29,4410,4471,4367,4420,172233,761269860,1.1905,-15588,61123,-45585,-2989,-4788,0,-2350,0,-5458,0,50,-30000
2016-06-30,4427,4470,4418,4428,91113,403448364,0.181,-30627,17314,13313,0,-1086,0,-126,0,14525,0,0,0
2016-07-01,4445,4523,4445,4489,184732,829261948,1.3776,-17727,61168,-38825,-31702,-883,0,-3166,0,-3074,-4666,50,0
2016-07-04,4496,4514,4384,4420,243278,1075288760,-1.5371,78667,51385,-129325,-76183,-3381,-10880,-38900,0,19,374,-1101,0
2016-07-05,4446,4446,4368,4386,156696,687268656,-0.7692,-25871,30420,-4159,0,-3472,0,-1042,0,355,-490,100,0
2016-07-06,4402,4402,4324,4368,144326,630415968,-0.4104,-9541,18308,-8767,0,-8690,0,-124,0,47,0,0,0
2016-07-07,4418,4418,4367,4411,151740,669325140,0.9844,22025,49272,-71397,0,-55291,0,-2238,0,-13868,0,100,0
2016-07-08,4401,4445,4323,4394,259466,1140093604,-0.3854,58306,5924,-65505,0,-49504,0,-16968,0,967,1000,275,0
2016-07-11,4394,4410,4324,4368,294374,1285825632,-0.5917,116978,-1782,-117196,-12643,-87486,0,-17829,0,762,2000,0,0
2016-07-12,4376,4401,4315,4351,206475,898372725,-0.3892,42302,16977,-60404,-33896,-17240,0,-89,0,-9179,1000,125,0
2016-07-13,4350,4385,4323,4351,208792,908453992,0.0,20606,33059,-52715,0,-21914,0,-10111,0,-20690,-1000,50,0
2016-07-14,4368,4489,4342,4455,330152,1470827160,2.3903,34487,68687,-104174,0,-40001,-407,-53614,0,-10152,1000,0,0
2016-07-15,4454,4481,4394,4446,192777,857086542,-0.202,51071,16089,-67260,0,-31872,0,-7151,0,-14237,0,100,-14000
2016-07-18,4437,4446,4359,4377,213118,932817486,-1.552,88763,-3662,-85011,-69601,-9970,0,-5662,0,222,-140,50,0
2016-07-19,4393,4393,4319,4324,309673,1339026052,-1.2109,63498,12773,-76326,-70000,-212,0,-6469,0,355,0,55,0
2016-07-20,4332,4394,4315,4368,274286,1198081248,1.0176,18255,78945,-97195,-55000,-19590,0,-6175,0,388,0,-5,-16818
