date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,875000,879000,869000,871000,5290,4607590000,-0.1147,-1064,525,569,229,-88,-108,-43,0,579,-30,0,0
2016-05-27,880000,897000,875000,886000,7181,6362366000,1.7222,-1033,1801,-770,125,-37,-267,-26,-3,-562,10,-8,0
2016-05-30,880000,880000,858000,859000,8666,7444094000,-3.0474,2584,-1160,-1250,171,174,-1532,1,0,-64,-175,1,0
2016-05-31,855000,858000,842000,848000,10183,8635184000,-1.2806,2293,-1386,-912,-75,36,-945,0,2,70,4,1,0
2016-06-01,842000,863000,842000,857000,6565,5626205000,1.0613,-967,-1068,2048,9,417,2024,374,0,-776,-11,-2,0
2016-06-02,851000,871000,851000,863000,4758,4106154000,0.7001,-1318,-791,2121,446,310,1297,391,0,-323,-13,1,0
2016-06-03,864000,875000,857000,860000,5000,4300000000,-0.3476,223,-1192,967,-12,45,53,105,0,776,0,2,0
2016-06-07,865000,877000,861000,874000,4545,3972330000,1.6279,-1240,-253,1434,467,-8,0,-130,0,1117,60,-1,-12
2016-06-08,865000,889000,865000,885000,6178,5467530000,1.2586,-1642,29,1378,633,-62,36,14,0,757,236,-1,0
2016-06-09,890000,890000,854000,854000,11261,9616894000,-3.5028,3809,-1149,-2818,-271,-3238,99,-479,0,1071,140,18,0
2016-06-10,857000,867000,855000,863000,3918,3381234000,1.0539,155,581,-736,-33,-329,-1041,-141,0,808,0,0,0
2016-06-13,866000,894000,855000,867000,4869,4221423000,0.4635,-1274,-1006,2280,1362,-24,23,-5,0,924,0,0,0
2016-06-14,864000,872000,847000,852000,8342,7107384000,-1.7301,1716,-1471,-245,20,-328,-595,-86,0,744,0,0,0
2016-06-15,850000,853000,840000,840000,4111,3453240000,-1.4085,1244,-1190,173,54,-35,-26,-43,0,223,-227,0,0
2016-06-16,832000,853000,820000,823000,5433,4471359000,-2.0238,1367,-825,-524,-448,-183,-34,-296,0,437,-10,-8,0
2016-06-17,828000,837000,820000,822000,3596,2955912000,-0.1215,447,249,-696,-577,-108,-198,-83,-231,501,4,-4,0
2016-06-20,835000,836000,816000,825000,3440,2838000000,0.365,564,-92,-473,-363,29,-110,-5,0,-24,0,1,0
2016-06-21,825000,834000,824000,825000,2294,1892550000,0.0,416,-309,2,-102,-18,-4,4,0,122,-109,0,0
2016-06-22,826000,832000,823000,829000,3490,2893210000,0.4848,-137,-603,840,335,9,0,-3,0,499,-100,0,0
2016-06-23,834000,834000,816000,818000,3359,2747662000,-1.3269,469,-432,-48,-549,-284,125,-14,0,674,10,1,0
2016-06-24,828000,828000,777000,790000,8473,6693670000,-3.423,-627,606,-31,0,-86,-210,-26,0,291,1,51,0
2016-06-27,790000,798000,772000,798000,5386,4298028000,1.0127,-665,386,324,-665,-31,315,16,0,689,5,-50,0
2016-06-28,799000,837000,791000,829000,6987,5792223000,3.8847,-1500,1031,467,-908,49,651,-68,0,756,6,-4,-13
2016-06-29,829000,838000,817000,818000,4638,3793884000,-1.3269,1903,-733,-1329,-235,-234,80,-802,0,-138,160,-1,0
2016-06-30,822000,830000,819000,823000,4928,4055744000,0.6112,-640,1705,-1065,-122,-23,98,-609,0,-409,0,0,0
2016-07-01,828000,844000,826000,830000,4323,3588090000,0.8505,-1082,1015,54,-13,-48,521,105,0,-511,9,4,0
2016-07-04,830000,857000,830000,845000,5361,4530045000,1.8072,-1197,-248,1445,22,-105,179,91,0,1258,0,0,0
2016-07-05,835000,847000,832000,841000,3166,2662606000,-0.4734,514,-1385,866,125,61,9,72,0,599,5,0,0
2016-07-06,844000,856000,842000,844000,5311,4482484000,0.3567,-1046,98,790,36,260,198,77,0,219,158,0,0
2016-07-07,853000,858000,846000,850000,3211,2729350000,0.7109,-963,-184,1147,0,-42,0,45,0,1144,0,0,0
2016-07-08,842000,847000,830000,842000,4506,3794052000,-0.9412,300,-562,120,314,-11,-25,-185,0,27,122,20,0
2016-07-11,854000,854000,840000,848000,3142,2664416000,0.7126,-837,-17,834,-1,364,-44,-12,0,527,1,19,0
2016-07-12,849000,850000,835000,843000,2476,2087268000,-0.5896,116,-363,247,8,-72,-20,25,0,306,0,0,0
2016-07-13,838000,846000,836000,837000,3367,2818179000,-0.7117,186,-31,-155,-266,164,275,-78,0,-250,0,0,0
2016-07-14,838000,840000,814000,821000,6396,5251116000,-1.9116,2425,212,-2580,-508,-786,-89,-1707,0,510,-57,0,0
2016-07-15,822000,822000,806000,809000,5863,4743167000,-1.4616,2191,-448,-1743,-170,-800,-534,-113,0,-126,0,0,0
2016-07-18,806000,817000,800000,808000,4652,3758816000,-0.1236,1206,-143,-1072,0,-619,-530,-287,0,364,4,5,0
2016-07-19,808000,809000,800000,805000,4035,3248175000,-0.3713,1711,-128,-1598,0,-246,-811,-370,0,-171,5,10,0
2016-07-20,806000,819000,803000,806000,3332,2685592000,0.1242,472,-159,-315,1,-203,110,-229,0,6,2,0,0
2016-07-21,806000,810000,797000,804000,4397,3535188000,-0.2481,851,-90,-720,-6,-1038,1,-153,0,476,-41,0,0
2016-07-22,808000,814000,800000,812000,5432,4410784000,0.995,456,1444,-2024,-672,-625,-1048,-12,0,333,124,0,0
2016-07-25,812000,816000,790000,791000,5791,4580681000,-2.5862,2783,-1238,-1423,0,-295,-327,-12,0,-789,-122,0,0
2016-07-26,796000,796000,784000,787000,5118,4027866000,-0.5057,1943,46,-1989,-790,-792,-1082,52,0,623,0,0,0
2016-07-27,788000,792000,784000,788000,2387,1880956000,0.1271,406,-610,203,-49,-130,21,-31,0,392,1,0,0
2016-07-28,786000,792000,784000,786000,3167,2489262000,-0.2538,859,-316,-545,-310,18,-34,-56,0,-163,2,0,0
2016-07-29,788000,788000,781000,781000,4809,3755829000,-0.6361,1123,-735,-389,-81,-523,-422,710,0,-73,1,0,0
2016-08-01,781000,784000,762000,769000,5926,4557094000,-1.5365,884,13,-912,427,-455,-806,-12,0,-66,5,10,0
2016-08-02,772000,777000,765000,774000,5013,3880062000,0.6502,837,805,-1636,-538,-310,-184,-3,0,-601,-1,-5,0
