date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,28450,28900,28050,28250,85697,2420940250,-0.3527,6673,-10503,3851,16640,-1182,1428,-14437,0,1402,-21,0,0
2016-05-27,28250,28750,28150,28300,79866,2260207800,0.177,22964,-3426,-19692,25,1400,-4195,-19567,0,2645,-1,155,0
2016-05-30,28300,28750,27750,28550,83740,2390777000,0.8834,2541,-21368,18808,17936,-1428,3900,-1009,0,-591,19,0,0
2016-05-31,28250,29100,28250,28600,81038,2317686800,0.1751,-5853,-10665,16219,-1677,-169,21176,-386,0,-2725,-1,300,0
2016-06-01,28950,29650,28700,29250,118826,3475660500,2.2727,-9079,2037,6807,5746,-482,-30,5819,0,-4246,43,192,0
2016-06-02,29400,29650,28550,28700,89889,2579814300,-1.8803,40549,-41407,731,4681,6139,-8265,5307,0,-7131,-1,128,0
2016-06-03,28650,29700,28650,29400,87091,2560475400,2.439,-1445,2859,-1543,-193,4073,-12301,3209,0,3669,-1,130,0
2016-06-07,29900,29900,29200,29300,57684,1690141200,-0.3401,5886,-13723,7837,5452,291,0,-584,0,2678,0,0,0
2016-06-08,29650,29650,28850,29250,60551,1771116750,-0.1706,2601,-9429,6819,6509,-1633,-103,-1946,0,3992,9,0,0
2016-06-09,29550,29550,28900,29000,79909,2317361000,-0.8547,-361,4755,-5028,369,-8379,75,-3449,0,6356,834,-200,0
2016-06-10,29000,29500,28800,29200,78958,2305573600,0.6897,-6003,-4082,8385,1707,2208,394,-4510,0,8586,400,1300,0
2016-06-13,29200,29200,28400,28600,62363,1783581800,-2.0548,12512,-23907,12663,8890,199,-159,-406,0,4139,32,-1300,0
2016-06-14,28450,28650,26850,26950,288931,7786690450,-5.7692,136308,-36480,-100165,-29514,-8907,-19047,-18147,0,-24550,161,176,0
2016-06-15,26550,27350,26450,26900,137713,3704479700,-0.1855,1523,24498,-30940,-8484,-8867,-2277,-2693,0,-8619,4723,196,0
2016-06-16,26700,26900,26000,26100,127953,3339573300,-2.974,28745,5643,-37427,-19902,-2512,320,-8608,0,-6725,3032,7,0
2016-06-17,26200,26650,25550,26050,110470,2877743500,-0.1916,31350,8724,-35086,-12236,218,8056,-20615,0,-10509,-4988,0,0
2016-06-20,26000,26600,26000,26350,58403,1538919050,1.1516,17036,-294,-16749,-11166,2794,9143,-17206,0,-314,1,6,0
2016-06-21,26250,26350,26100,26150,58340,1525591000,-0.759,18778,-1892,-16377,-20308,6676,18,-2977,0,214,-13,-496,0
2016-06-22,26000,26800,26000,26750,73393,1963262750,2.2945,5308,-303,-4955,-9705,-139,8983,-5442,0,1348,0,-50,0
2016-06-23,26750,26750,26200,26550,50077,1329544350,-0.7477,5041,-1988,-4046,-9984,127,0,2736,0,3075,-7,1000,0
2016-06-24,27950,28450,26050,26150,485831,12704480650,-1.5066,192371,-61016,-132462,-20310,-27626,-22992,-33390,0,-28144,1117,-10,0
2016-06-27,25100,26200,25100,25900,120762,3127735800,-0.956,-6534,-3519,9995,-725,-232,6756,73,0,4123,58,0,0
2016-06-28,25400,26150,25400,26150,108471,2836516650,0.9653,21725,-1459,-18367,-17503,-6841,11778,-5361,0,-440,-909,-990,0
2016-06-29,26600,27000,26400,26450,129557,3426782650,1.1472,42359,2468,-44896,-14090,2369,-1331,-28741,0,-3103,69,0,0
2016-06-30,26550,26800,26350,26600,77797,2069400200,0.5671,7245,3394,-10638,-6796,-5564,8878,-1243,0,-5913,-1,0,0
2016-07-01,26900,26900,26450,26600,78355,2084243000,0.0,38540,-5596,-32814,-16446,-12483,-74,-1909,0,-1902,-120,-10,0
2016-07-04,26750,26800,26450,26550,56457,1498933350,-0.188,20350,-899,-18636,-12436,-5193,240,-6,0,-1241,187,-1002,0
2016-07-05,26600,26700,26100,26300,77839,2047165700,-0.9416,16744,2846,-19676,-13737,-3020,0,-2737,0,-182,88,-2,0
2016-07-06,26250,26800,26200,26500,96376,2553964000,0.7605,-11825,23714,-11839,-12490,-405,1064,-1765,0,1757,2,-52,0
2016-07-07,26550,26850,26500,26800,63237,1694751600,1.1321,-5679,16421,-11624,-12490,-39,0,-393,0,1298,0,882,0
2016-07-08,26800,26950,26200,26350,75298,1984102300,-1.6791,30839,-5263,-25579,-16314,-1601,-1480,-3418,0,-2766,-2,5,0
2016-07-11,26700,27300,26450,26900,108986,2931723400,2.0873,-870,19756,-17854,-13411,-4386,0,-3319,0,3262,23,-1055,0
2016-07-12,26750,26950,26550,26600,75560,2009896000,-1.1152,30308,-10909,-19349,-17443,-817,42,-9,0,-1122,0,-50,0
2016-07-13,26700,27050,26500,26650,80207,2137516550,0.188,26957,-5545,-21800,-12490,-5494,64,-734,0,-3146,0,388,0
2016-07-14,26650,26800,26500,26750,44153,1181092750,0.3752,15540,-5339,-10201,-10000,-492,96,-56,0,251,0,0,0
2016-07-15,26750,26800,26500,26600,75838,2017290800,-0.5607,25171,-9444,-15729,-10018,-1325,-696,-316,0,-3374,2,0,0
2016-07-18,26450,26800,26450,26700,55577,1483905900,0.3759,-5564,14812,-9255,-10000,-495,0,81,0,1159,6,1,0
2016-07-19,26700,26750,26450,26500,46494,1232091000,-0.7491,11680,-160,-11536,-10001,-1187,-41,76,0,-383,15,1,0
2016-07-20,26700,26700,26350,26400,41280,1089792000,-0.3774,7643,2340,-9987,-10000,-422,1184,-31,0,-718,4,0,0
2016-07-21,26350,26550,26350,26400,59464,1569849600,0.0,1455,10109,-2779,-15227,-297,1118,-17,0,11644,-8835,50,0
2016-07-22,26350,26800,26250,26700,67085,1791169500,1.1364,-16548,28345,-11797,-10000,-49,97,-2477,0,632,0,0,0
2016-07-25,27450,28050,27100,27300,232066,6335401800,2.2472,-16896,42998,-25003,-11240,-6860,-7723,-51,0,871,-999,-100,0
2016-07-26,27300,27500,27050,27150,78583,2133528450,-0.5495,2178,-8646,6213,2168,-746,-175,210,0,4756,0,255,0
2016-07-27,27150,30300,27150,29700,784091,23287502700,9.3923,-184397,51381,136266,5775,16844,68946,24746,0,19955,-3558,308,0
2016-07-28,30050,31900,29800,31450,713064,22425862800,5.8923,-163595,-23419,187106,-25805,43741,28207,32406,0,108557,1500,-1592,0
2016-07-29,31500,31700,30700,31400,237333,7452256200,-0.159,-47253,38153,10629,1006,5246,28,1634,0,2715,-1387,-142,0
2016-08-01,31350,32450,31350,32050,235792,7557133600,2.0701,-91103,66145,25744,-28023,1976,444,43603,0,7744,-1001,215,0
2016-08-02,32200,32650,31750,32250,198631,6405849750,0.624,-77642,83642,-5990,-31116,485,-2195,28152,0,-1316,0,-10,0
2016-08-03,32100,33000,31700,32850,223011,7325911350,1.8605,-92579,59445,33265,-16302,5725,-1417,48752,0,-3493,0,-131,0
2016-08-04,32700,32850,31450,31700,214128,6787857600,-3.5008,4077,41372,-45512,-28747,-1735,-12888,681,0,-2823,-100,163,0
2016-08-05,31800,33000,31700,32950,209298,6896369100,3.9432,-80804,72243,7761,-14108,3407,-9719,23539,0,4642,50,750,0
2016-08-08,32950,32950,32100,32700,91115,2979460500,-0.7587,-19720,11118,8602,7927,71,59,-336,0,881,0,0,0
2016-08-09,32700,33550,32450,32850,115769,3803011650,0.4587,-31186,33031,128,-1026,-43,-181,-4095,0,5473,-2000,27,0
2016-08-10,32950,33250,32450,32850,95067,3122950950,0.0,-27517,36759,-8492,-10000,-1064,-4,89,0,2487,0,-750,0
2016-08-11,32700,33600,32700,33150,155228,5145808200,0.9132,-27275,40577,-11751,-8738,767,-8861,-2,0,5083,-671,-880,0
2016-08-12,33250,34550,33150,33250,217620,7235865000,0.3017,-21526,29946,-9665,-5398,-646,-15031,3720,0,7690,1245,0,0
2016-08-16,33350,33900,33050,33200,98802,3280226400,-0.1504,-5700,22265,-15591,-13764,-7847,6,359,0,5655,-294,-680,0
2016-08-17,32900,33350,32200,32350,110913,3588035550,-2.5602,-25138,38525,-13671,-10356,-796,-1500,-24,0,-995,76,208,0
2016-08-18,32550,34450,32500,34100,288254,9829461400,5.4096,-93527,99449,-5628,1974,-5346,-200,3297,0,-5353,6,-300,0
2016-08-19,34400,34400,33700,34250,146475,5016768750,0.4399,476,11135,-10328,-2108,-1133,5,-34,0,-7058,-45,-1238,0
2016-08-22,34000,34900,33900,34500,198102,6834519000,0.7299,-19649,31480,-10874,459,-238,24,-6702,0,-4417,-910,-47,0
2016-08-23,34500,34900,33900,34900,106760,3725924000,1.1594,-30375,27912,-3394,2,13,24,-1819,0,-1614,5757,100,0
2016-08-24,34650,35200,34350,34500,96213,3319348500,-1.1461,-22511,9304,3809,1213,824,6586,-3407,0,-1407,9398,0,0
2016-08-25,34500,35500,34400,35500,195593,6943551500,2.8986,-64769,63284,5781,1312,-1027,352,546,0,4598,-4396,100,0
2016-08-26,35350,35700,33700,34100,160660,5478506000,-3.9437,1480,597,-2271,-3687,-824,121,-101,0,2220,-6,200,0
2016-08-29,33800,34000,33150,33550,85125,2855943750,-1.6129,-20889,25975,-2442,237,83,-57,-4713,0,2008,-2644,0,0
2016-08-30,33750,34800,33350,33750,101461,3424308750,0.5961,-24760,28450,-4682,-2466,-2126,-1280,-1478,-124,2792,992,0,0
2016-08-31,34150,34150,32250,32450,137582,4464535900,-3.8519,-12956,24925,-13066,-12495,-8,452,-361,0,-654,1097,0,0
2016-09-01,32600,33650,31850,33150,109045,3614841750,2.1572,-18502,29721,-12741,-6117,-598,-269,457,0,-6214,1517,5,0
2016-09-02,33400,33400,32250,33000,61349,2024517000,-0.4525,-162,4826,-4631,373,1750,173,985,0,-7912,-33,0,0
2016-09-05,33050,33250,32250,32750,95250,3119437500,-0.7576,-2592,19936,-16460,46,-6965,14,-12950,0,3395,-1534,650,0
2016-09-06,33000,33100,32550,32800,38281,1255616800,0.1527,-5186,7969,-2775,-2826,-80,-24,2385,0,-2230,-8,0,0
2016-09-07,32800,33000,32350,32650,44839,1463993350,-0.4573,-10461,9688,1819,2644,-2036,98,71,0,1042,-8,-1038,0
2016-09-08,32450,33900,32450,33400,123383,4120992200,2.2971,-23821,14122,10007,1512,-1671,931,10292,0,-1057,-8,-300,0
2016-09-09,33400,33450,32400,32600,65750,2143450000,-2.3952,16523,-18864,3153,7693,134,83,-1946,0,-2811,-16,-796,0
2016-09-12,32200,32950,31950,31950,79125,2528043750,-1.9939,-20387,-4041,24534,629,10619,8499,433,0,4354,-6,-100,0
2016-09-13,31950,32300,30450,31100,132259,4113254900,-2.6604,7115,24046,-31163,0,-1057,-15869,27,0,-14264,-3,5,0
2016-09-19,30550,31750,30200,31750,90621,2877216750,2.09,-11814,5214,6541,6835,2985,12808,-8193,0,-7894,39,20,0
2016-09-20,31500,31550,30600,30950,77051,2384728450,-2.5197,30923,-17206,-14715,4915,-5614,3517,-9496,0,-8037,998,0,0
2016-09-21,30700,31050,29750,29900,200431,5992886900,-3.3926,24871,31411,-56918,-27837,-10739,-14921,1692,0,-5113,636,0,0
2016-09-22,29800,30150,28700,29350,253848,7450438800,-1.8395,4139,56466,-60867,-212,-4322,-36152,-3,0,-20178,311,-49,0
2016-09-23,29400,30500,29400,30350,161350,4896972500,3.4072,-47620,12456,35279,-1155,20985,12172,2598,0,679,-115,0,0
2016-09-26,30450,30450,29900,30300,79826,2418727800,-0.1647,-14850,-19660,33953,19264,6669,1332,3088,0,3600,488,69,0
2016-09-27,29750,31100,29750,31050,123474,3833867700,2.4752,-26463,-5313,32883,15484,21824,-10443,6212,0,-194,-1107,0,0
2016-09-28,31050,31100,30050,30050,87354,2624987700,-3.2206,23349,-24377,991,2992,10602,-6320,-2056,0,-4227,37,0,0
2016-09-29,30100,30700,29850,30250,57724,1746151000,0.6656,1135,-5300,4068,-7,3541,-189,1078,0,-355,97,0,0
2016-09-30,30200,30200,29150,29150,126469,3686571350,-3.6364,31509,-13344,-18157,6813,2934,-1608,-25666,0,-630,-8,0,0
2016-10-04,29000,30050,29000,29850,98178,2930613300,2.4014,-26234,13175,12864,15864,1864,-1091,732,0,-4505,-3,198,0
2016-10-05,29850,29900,29100,29450,57076,1680888200,-1.34,16091,-15943,-41,224,44,-133,26,1000,-1202,91,-198,0
2016-10-06,29400,29600,29150,29150,51734,1508046100,-1.0187,13647,-14881,1087,-682,2248,-727,5152,0,-4904,-3,150,0
2016-10-07,29100,29150,28350,28350,117313,3325823550,-2.7444,15309,-18634,3413,5911,1477,-105,-3493,0,-377,39,-127,0
2016-10-10,28700,28850,28250,28750,64966,1867772500,1.4109,-1414,1192,176,8363,296,31,-13457,0,4943,-4,50,0
2016-10-11,28900,28900,28450,28700,72034,2067375800,-0.1739,14875,-25616,10747,3223,1122,-160,-6019,0,12581,-6,0,0
2016-10-12,28450,29250,28450,28750,50976,1465560000,0.1742,3779,-7787,4053,935,-53,-9242,1115,0,11298,-45,0,0
2016-10-13,28850,29050,28050,28200,66495,1875159000,-1.913,35093,-16511,-24584,-5,599,-61,-20352,0,-4765,5992,10,0
2016-10-14,28300,28450,28050,28150,49228,1385768200,-0.1773,9571,-8537,-1072,-2722,5236,-1207,-1098,0,-1281,-2,40,0
2016-10-17,28050,28300,27500,27500,81747,2248042500,-2.3091,29496,-10568,-18947,2944,-4188,459,-11468,0,-6694,19,0,0
2016-10-18,27400,28100,27400,28050,54230,1521151500,2.0,-6300,-3710,10005,1893,-9345,6374,-3450,0,14533,5,0,0
2016-10-19,28100,28300,27650,27800,57860,1608508000,-0.8913,21292,-13042,-8274,2750,-8663,41,-2242,0,-160,-6,30,0
2016-10-20,27650,29450,27650,29400,172884,5082789600,5.7554,-5246,-5950,7421,-1565,4174,6226,120,0,-1534,3935,-160,0
2016-10-21,29850,30550,28600,28600,368147,10529004200,-2.7211,70304,-60465,4968,6669,993,-4178,120,0,1364,-15483,676,0
2016-10-24,28650,29350,28650,28900,62992,1820468800,1.049,-327,1993,-1664,-1465,-1273,10,60,0,1004,-2,0,0
2016-10-25,28800,29000,27850,28200,85464,2410084800,-2.4221,11522,3996,-15381,-47,2579,-1188,-16864,0,139,9,-146,0
2016-10-26,28050,28600,27650,28000,72648,2034144000,-0.7092,18007,-7015,-10988,4988,595,178,-15154,0,-1595,-4,0,0
2016-10-27,27750,28300,27750,27950,53131,1485011450,-0.1786,9371,3336,-12855,4138,-436,-1389,-13617,0,-1551,148,0,0
2016-10-28,26500,26500,25000,26150,516150,13497322500,-6.4401,177432,-63854,-113667,35994,-69104,-34550,-30374,0,-15633,80,9,0
2016-10-31,26000,26000,25050,25100,165049,4142729900,-4.0153,51165,-56225,5240,24340,-1677,74,-17431,-1000,934,-1,-179,0
2016-11-01,25100,25300,24600,24650,156504,3857823600,-1.7928,87015,-67176,-24965,-1048,-3851,3249,-20862,0,-2453,5019,107,0
2016-11-02,24150,24250,23500,23650,189707,4486570550,-4.0568,30570,-45737,14917,1546,-5466,16219,-826,0,3444,249,1,0
2016-11-03,23250,23950,23250,23950,95439,2285764050,1.2685,28287,-31380,-1719,-12350,-526,9198,-6383,0,8342,4812,0,0
2016-11-04,23700,23900,23350,23550,104551,2462176050,-1.6701,34215,-44377,9433,-9505,8340,332,9947,0,319,229,500,0
2016-11-07,23800,24250,23400,24150,87894,2122640100,2.5478,42770,-41781,-667,-9387,226,120,4272,0,4102,-752,430,0
2016-11-08,24350,24350,23850,23900,90554,2164240600,-1.0352,50484,-37419,-12609,-836,126,-12489,154,0,436,44,-500,0
2016-11-09,24050,24050,22800,23150,170205,3940245750,-3.1381,13928,-33308,9765,1829,2475,267,4751,0,443,10033,-418,0
2016-11-10,23400,24300,23400,24250,107660,2610755000,4.7516,-21400,-17870,39273,30817,3442,844,50,0,4120,-3,0,0
2016-11-11,23950,24200,23650,24000,65882,1581168000,-1.0309,21513,-30522,8810,702,957,917,1277,0,4957,199,0,0
2016-11-14,24100,24500,23850,24250,65001,1576274250,1.0417,15974,-30168,14339,-424,1968,8378,25,0,4392,-200,55,0
2016-11-15,24500,24700,23950,24700,99786,2464714200,1.8557,-6559,-35965,42527,21759,10544,3902,3283,0,3039,-3,0,0
2016-11-16,24700,25400,24700,25150,141745,3564886750,1.8219,2553,-52507,49057,20549,3930,30449,36,0,-5907,897,0,0
2016-11-17,25150,25300,24800,25000,59938,1498450000,-0.5964,21688,-28290,6604,1092,4156,5989,712,0,-5345,-2,0,0
2016-11-18,25300,25300,23950,24450,94020,2298789000,-2.2,26490,-21426,-4284,2527,1112,-3599,-25,0,-4299,-780,0,0
2016-11-21,24100,24500,24000,24450,68738,1680644100,0.0,-12680,-9346,22027,23787,43,-2379,1305,0,-729,-1,0,0
2016-11-22,24250,24600,23500,23550,100637,2370001350,-3.681,37838,-18428,-20817,133,-3624,-18318,-89,0,1081,0,1407,0
2016-11-23,23550,23850,23150,23200,101540,2355728000,-1.4862,52752,-24244,-28527,-1166,-3662,-18814,-1139,0,-3746,19,0,0
2016-11-24,23250,23700,23100,23100,119653,2763984300,-0.431,1966,-22716,20874,24487,2274,-11726,977,0,4862,-124,0,0
2016-11-25,23150,23600,22800,23150,106035,2454710250,0.2165,38888,-29035,-9868,11723,-3515,-18329,149,0,104,15,0,0
2016-11-28,23350,23500,22950,23100,64655,1493530500,-0.216,8703,-18441,9738,7676,6846,0,-21,0,-4763,0,0,0
2016-11-29,23450,23850,23100,23600,77257,1823265200,2.1645,-11738,-17395,29135,25540,2059,2,103,0,1431,-2,0,0
2016-11-30,23650,23800,23200,23350,53769,1255506150,-1.0593,21142,-27321,6183,8719,1444,36,228,0,-4244,-4,0,0
2016-12-01,23450,24000,23200,23800,71253,1695821400,1.9272,-11537,-1998,13535,14131,202,166,-3225,0,2026,0,0,235
2016-12-02,23500,24000,23150,23250,92145,2142371250,-2.3109,52892,-31182,-24763,-10206,-11302,-1596,-463,0,-1196,3053,0,0
2016-12-05,23100,23300,22850,22950,48304,1108576800,-1.2903,11896,-15689,3699,832,2450,0,250,0,167,20,74,0
2016-12-06,23350,23500,23050,23250,45772,1064199000,1.3072,-4991,-1374,6565,6441,-97,-1,-4,0,226,-200,0,0
2016-12-07,23250,24100,23000,23850,76301,1819778850,2.5806,-5420,-16723,22224,26274,-3388,5,2652,0,-3319,-1,-80,0
2016-12-08,23900,24100,23700,23950,57892,1386513400,0.4193,-1615,-10920,12739,2557,437,220,337,0,9188,-4,-200,0
2016-12-09,23800,24000,23700,23900,46669,1115389100,-0.2088,4451,-10021,8570,12479,-4348,235,-850,0,1054,-3000,0,0
2016-12-12,24400,24750,24000,24450,93785,2293043250,2.3013,-8494,-2752,11255,10353,-2136,-42,-205,0,3285,-1,-8,0
2016-12-13,24800,24800,23900,23950,124776,2988385200,-2.045,59265,4149,-63480,-57310,-403,5,-53,0,-5719,0,66,0
2016-12-14,24150,24350,23900,24000,59007,1416168000,0.2088,3781,6398,-9518,-3642,-4229,-444,-1169,0,-172,-601,-60,138
2016-12-15,23900,24400,23800,24400,42166,1028850400,1.6667,-2264,1696,484,588,118,0,-18,0,-204,-4,88,0
2016-12-16,23900,24050,23350,23550,436393,10277055150,-3.4836,124140,55958,7818,-103,2580,-5645,-968,1801,10153,-188227,311,0
2016-12-19,23650,23750,23350,23600,54339,1282400400,0.2123,14457,-5813,-8627,-1629,2019,-2825,549,0,-6741,-17,0,0
2016-12-20,23700,23850,23550,23750,77360,1837300000,0.6356,-4623,121,7509,20986,-1358,-7719,594,-900,-4081,-3007,0,-13
2016-12-21,23750,23850,23450,23650,55240,1306426000,-0.4211,13702,-15227,1549,637,609,-694,226,0,771,-30,6,0
2016-12-22,23550,23650,23350,23450,46829,1098140050,-0.8457,713,288,-1006,-2013,502,-2062,-165,0,2732,0,5,0
2016-12-23,23300,23950,23000,23850,98722,2354519700,1.7058,-18486,25253,-6788,555,59,-8725,-317,-901,2541,20,1,0
2016-12-26,23900,23950,23650,23850,42465,1012790250,0.0,9664,-3803,-5428,-8083,2425,99,255,0,-124,-500,67,0
2016-12-27,23950,23950,23700,23750,39154,929907500,-0.4193,-1736,809,726,826,-358,216,-976,0,1018,0,201,0
2016-12-28,23900,23900,23350,23650,54020,1277573000,-0.4211,3439,4994,-8445,552,-11,-175,-1092,0,-7719,0,12,0
2016-12-29,23800,23800,23550,23650,27764,656618600,0.0,8994,-2490,-6503,-853,1533,-17,790,0,-7925,0,-1,-31
2017-01-02,23650,23750,23450,23550,53288,1254932400,-0.4228,18729,-12247,-5353,-783,-3893,-85,-156,0,-405,20,-1149,-31
2017-01-03,23400,24200,23400,24050,77916,1873879800,2.1231,-22742,21072,1807,-3482,-98,5695,2717,0,-3025,0,-137,0
2017-01-04,24150,24750,24000,24600,125793,3094507800,2.2869,-18197,10734,7638,910,467,9810,-678,0,-2871,-45,-130,0
2017-01-05,24700,24850,24500,24550,57675,1415921250,-0.2033,-2640,4663,-23,868,28,-609,632,0,-942,0,-2000,0
2017-01-06,24550,24550,24250,24450,52619,1286534550,-0.4073,2710,-3075,355,3275,-81,337,13,0,-3189,0,10,0
2017-01-09,24500,24500,23750,23750,83905,1992743750,-2.863,42848,-26923,-15945,-10160,-276,-774,-5,0,-4730,0,20,0
2017-01-10,23750,23800,23450,23550,50921,1199189550,-0.8421,20879,-13492,-7387,-8999,-72,1764,2793,0,-2873,0,0,0
2017-01-11,23550,24050,23550,24000,41666,999984000,1.9108,-6080,-619,6699,3360,-671,165,147,0,3698,0,0,0
2017-01-12,24000,24400,24000,24300,65260,1585818000,1.25,-23498,17212,6286,3038,-935,0,-76,0,3969,0,0,290
2017-01-13,24250,24500,24200,24250,54040,1310470000,-0.2058,-13724,8055,5527,3360,-3768,118,907,0,4910,0,142,0
2017-01-16,24250,24450,23950,23950,43933,1052195350,-1.2371,1962,-5467,3450,0,-3684,-480,55,0,7559,0,55,0
2017-01-17,24150,24250,24000,24050,36017,866208850,0.4175,2692,-12933,10241,0,-495,5740,26,0,4970,0,0,0
2017-01-18,23950,24250,23850,24250,76100,1845425000,0.8316,-3494,5709,-2344,-12976,6747,-274,60,0,4099,90,39,0
2017-01-19,24300,24300,23600,23800,106894,2544077200,-1.8557,24320,-30677,4220,-9000,1899,12646,238,0,-1563,1610,527,0
2017-01-20,24000,24000,23550,23550,43772,1030830600,-1.0504,22239,-22461,222,-681,-175,0,-9,0,1087,0,0,0
2017-01-23,23600,24150,23550,23900,61375,1466862500,1.4862,-15466,-6371,20881,0,12700,5213,12,0,2956,952,4,0
2017-01-24,24100,24100,23600,23850,42421,1011740850,-0.2092,3067,-11783,8716,0,421,8943,333,0,-981,0,0,0
2017-01-25,24000,24000,23550,23650,44936,1062736400,-0.8386,20515,-10967,-9548,-1000,-374,-54,-140,0,-7980,0,0,0
2017-01-26,23650,23800,23350,23500,50887,1195844500,-0.6342,12532,-3255,-5297,3,-662,0,-43,0,-4595,-4000,20,0
2017-01-31,23500,23700,23350,23600,31306,738821600,0.4255,-1506,-437,1941,1598,283,203,199,0,-321,0,2,-21
2017-02-01,23500,24050,23500,24000,46368,1112832000,1.6949,-8317,6428,2223,1038,169,254,210,0,490,-124,-210,62
2017-02-02,23850,24200,23700,23850,50390,1201801500,-0.625,-3623,5559,-1937,-453,81,-1260,-825,0,520,0,1,0
2017-02-03,23800,24150,23650,23700,36062,854669400,-0.6289,12268,-15229,2931,532,94,469,-28,0,1864,0,30,0
2017-02-06,23950,23950,23500,23600,38476,908033600,-0.4219,9664,-4987,-4198,5,-204,-1095,-4300,0,1414,0,-479,-18
2017-02-07,23700,23800,23500,23650,57819,1367419350,0.2119,5798,8558,-14456,-170,-4,-14109,-3133,0,2960,0,100,0
2017-02-08,23550,23750,23550,23600,29017,684801200,-0.2114,3686,-301,-3436,-5331,121,247,83,0,1444,1,50,0
2017-02-09,24000,25800,23950,25750,529464,13633698000,9.1102,-68896,40901,28155,-4231,8037,35278,-4727,0,-6202,-145,-15,0
2017-02-10,25900,25900,25200,25750,193602,4985251500,0.0,-22265,906,20707,2145,7168,12247,3,0,-856,518,134,0
2017-02-13,26000,26000,25450,25900,135022,3497069800,0.5825,-6296,11596,-5296,4,2506,-11527,891,0,2830,0,-4,0
2017-02-14,25550,26000,25350,25850,185261,4788996850,-0.1931,-42714,-7680,50394,-479,1220,34487,933,0,14233,0,0,0
2017-02-15,26100,26400,25450,25650,149909,3845165850,-0.7737,-13319,3257,10252,-598,-3895,13708,-19,0,1056,0,-190,0
2017-02-16,25800,25950,25050,25850,112129,2898534650,0.7797,-24740,25206,-466,5126,6581,411,130,0,-12714,0,0,0
2017-02-17,25850,26350,25600,26000,94862,2466412000,0.5803,-10069,-4572,14725,5277,4499,3819,131,0,999,0,-84,0
2017-02-20,26350,26350,25750,26150,88213,2306769950,0.5769,-8324,-492,8816,19164,-1465,-1194,-952,0,-6737,0,0,0
2017-02-21,26150,26650,26050,26350,95926,2527650100,0.7648,-9950,746,9425,3827,7431,-4676,239,0,2604,0,-221,0
2017-02-22,26600,26600,25900,25950,83416,2164645200,-1.518,20583,-1352,-20231,-11646,4917,-10371,-123,0,-3008,1000,0,0
2017-02-23,25950,25950,25300,25550,108778,2779277900,-1.5414,-14822,10879,4363,15513,-5554,-1067,23,0,-4552,-500,80,0
2017-02-24,25550,26750,25550,26600,194781,5181174600,4.1096,-82998,60109,19846,6575,10159,-6514,3923,0,5703,3243,-200,0
2017-02-27,26800,27850,26800,27600,228975,6319710000,3.7594,-33382,-22948,55150,22856,20970,3726,1759,0,5839,1230,-50,0
2017-02-28,27600,27800,26600,26800,126945,3402126000,-2.8986,35980,-21091,-15494,1872,725,-10642,252,0,-7696,560,45,-5
2017-03-02,26900,26950,26100,26150,90738,2372798700,-2.4254,13962,-10775,-3276,546,3132,2180,-124,0,-9005,98,-9,-5
2017-03-03,26000,26600,26000,26200,75507,1978283400,0.1912,-10078,4401,6177,3039,1811,296,1176,0,-145,-500,0,0
2017-03-06,26300,26350,24950,25900,94173,2439080700,-1.145,-11958,-7199,19142,14059,285,8617,6,0,-3825,0,15,0
2017-03-07,26100,27650,25900,27650,186554,5158218100,6.7568,-92593,32476,61903,15925,10431,2085,34049,0,-587,-1710,-76,0
2017-03-08,27300,27300,25650,25700,284543,7312755100,-7.0524,96345,-38632,-57788,-20675,-16446,-5892,-3126,0,-11649,0,75,0
2017-03-09,25700,25700,24950,24950,188182,4695140900,-2.9183,56944,-26732,-30232,3139,-22420,75,101,0,-11127,-148,168,0
2017-03-10,25000,25000,24300,24600,142989,3517529400,-1.4028,48143,-50232,2059,4260,-3399,7324,-160,0,-5966,1,29,0
2017-03-13,24650,25100,24600,24750,85480,2115630000,0.6098,21703,-23343,1642,-2079,7916,-843,-58,0,-3294,0,-2,0
2017-03-14,25150,25150,24850,24850,75143,1867303550,0.404,27572,-26728,-849,-91,-919,6585,-113,0,-6311,0,5,0
2017-03-15,24950,25050,24600,24750,53836,1332441000,-0.4024,8678,-6345,-499,-732,-2489,-2012,24,4000,710,-2000,166,0
2017-03-16,24800,25500,24800,25300,75912,1920573600,2.2222,-26366,-2915,29344,10684,4506,211,-456,3000,11399,47,-110,0
2017-03-17,25350,25450,25150,25350,59172,1500010200,0.1976,10988,-11034,2,1717,-208,33,192,0,-1732,25,19,0
2017-03-20,25450,25450,25000,25300,34978,884943400,-0.1972,-3546,1944,1300,29,-81,702,-391,0,1052,294,8,-11
2017-03-21,25450,25450,25200,25200,59572,1501214400,-0.3953,7251,-5089,-3364,-174,-1027,22,-188,0,-1997,198,1004,0
2017-03-22,24900,25400,24900,25250,81256,2051714000,0.1984,9819,9088,-21907,-32461,8786,4122,-25,4000,-6329,3000,0,0
2017-03-23,25250,27200,25250,27050,417373,11289939650,7.1287,-124609,79796,32025,11524,17774,-16800,4119,0,15408,12969,-181,0
